"","PHA","PHO","PUN","PBL","PDL","PMB"
"Dom_Component",61.9879989624023,34.390998840332,59.8530006408691,51.4710006713867,40.2080001831055,33.6370010375977
"Max_Depth",165,165,152,152,152,152
"Sub_CEC",0,3.25999999046326,1.28999996185303,3.02999997138977,14.2799997329712,10
"Sub_Gravel",27,24,33.6300010681152,27.7099990844727,11.460000038147,14
"Sub_OC",0,1.30499994754791,0.180350005626678,0.435000002384186,0.541509985923767,1.1599999666214
"Sub_pH",5.42999982833862,5.42570018768311,5.67140007019043,6.03999996185303,6.80999994277954,7.46000003814697
"Sub_BulkDens",1.52600002288818,1.28980004787445,1.48829996585846,1.43819999694824,1.41830003261566,1.31239998340607
"Sub_Sand",66,71,34,94,65,48
"Sub_Silt",30,23,64,1,17,28
"Top_CEC",0,0,2.42000007629395,4.57999992370605,9.22999954223633,10
"Top_Clay",4,6,2,7,10,19
"Top_Gravel",25,24.1000003814697,28,16.2700004577637,11.8299999237061,14
"Top_OC",0,1.22640001773834,0.645829975605011,0.435000002384186,0.794300019741058,1.1599999666214
"Top_pH",5.09999990463257,5.09999990463257,5.36670017242432,5.80000019073486,5.80000019073486,7.19999980926514
"Top_Bulk",1.52600002288818,1.30200004577637,1.39919996261597,1.43819999694824,1.37300002574921,1.31239998340607
"Top_Sand",65,71,80,88,79,42
"Top_Silt",31,23,18,5,11,39
"Latitude",42.54,45.25,46.22,46.28,47.17,43.83
"Longitude",-72.18,-68.73,-89.53,-94.58,-95.17,-82.83
